,pk_1,pk_2,pk_3,pk_4,pk_5,data_1,data_2
285,236,1386,22,11007,100016151,138,2356.34
286,236,1582,22,11007,100016151,-5,-118.7
287,236,1583,22,11007,100016151,75,1297.2
288,236,1584,22,11007,100016151,39,673.45
289,215,972,22,11002,100016208,1,112.23
290,215,983,22,11002,100016208,96,13272.44
291,215,1002,22,11002,100016208,6,806.71
292,215,1003,22,11002,100016208,62,7636.95
293,223,1578,22,11002,100016208,13,146032.0
294,223,1639,22,11002,100016208,36,416654.0
295,233,1567,22,11002,100016208,161,184323.96
296,236,1011,22,11002,100016208,39,5262.0
297,236,1012,22,11002,100016208,29,3913.24
298,236,1015,22,11002,100016208,9,1214.47
299,236,1016,22,11002,100016208,14,1889.18
300,236,1026,22,11002,100016208,529,71385.97
301,236,1028,22,11002,100016208,280,37783.0
302,236,1039,22,11002,100016208,20,2653.16
303,236,1040,22,11002,100016208,31,4169.25
304,236,1043,22,11002,100016208,5,661.72
305,236,1044,22,11002,100016208,7,935.33
306,236,1058,22,11002,100016208,2463,332390.55
307,236,1119,22,11002,100016208,97,13089.29
308,236,1120,22,11002,100016208,83,11200.3
309,236,1121,22,11002,100016208,57,7689.69
310,236,1122,22,11002,100016208,31,4183.25
311,236,1320,22,11002,100016208,2,269.89
312,236,1381,22,11002,100016208,23,3102.96
313,236,1383,22,11002,100016208,21,2824.95
314,236,1384,22,11002,100016208,42,5667.12
315,236,1385,22,11002,100016208,39,5259.18
316,236,1386,22,11002,100016208,379,51141.01
317,236,1769,22,11002,100016208,798,133602.45
318,244,10071,22,11002,100016208,524,62701.58
319,244,10081,22,11002,100016208,175,20917.06
320,223,1421,22,11002,100016208,8,89945.0
321,235,1026,22,11002,100016208,216,229356.03
322,196,10298,22,11002,100016208,90,40574.92
323,196,10299,22,11002,100016208,5,2242.23
324,196,10300,22,11002,100016208,3,1320.28
325,196,10319,22,11002,100016208,1,440.1
326,196,10322,22,11002,100016208,17,7663.5
327,196,10350,22,11002,100016208,5,2027.9
328,196,10308,22,11002,100016208,7,3084.1
329,196,10334,22,11002,100016208,10,4311.06
330,196,10335,22,11002,100016208,7,2980.33
331,236,1775,22,11002,100016208,300,50289.42
332,233,1472,22,11002,100016208,-1,-1144.87
333,175,1069,22,11002,100016208,1295,179812.99
